TERM_ID,TXN_CCY_CODE,TRN_AMOUNT,TRN_DT
ABI0019,AFN,174500,4/3/2025
ABI0019,USD,0,4/3/2025
ABI0021,AFN,604500,4/3/2025
ABI0021,USD,0,4/3/2025
ABI0026,AFN,66000,4/3/2025
ABI0030,AFN,174000,4/3/2025
ABI0031,AFN,20000,4/3/2025
ABI0032,AFN,22000,4/3/2025
ABI0034,AFN,5000,4/3/2025
ABI0034,USD,4850,4/3/2025
ABI0040,AFN,12500,4/3/2025
ABI0040,USD,10400,4/3/2025
ABI0041,AFN,101500,4/3/2025
ABI0042,AFN,51500,4/3/2025
ABI0042,USD,0,4/3/2025
ABI0043,AFN,40000,4/3/2025
ABI0043,USD,8700,4/3/2025
ABI0044,AFN,335500,4/3/2025
ABI0044,USD,0,4/3/2025
ABI0045,AFN,51500,4/3/2025
ABI0045,USD,0,4/3/2025
ABI0046,AFN,24500,4/3/2025
ABI0047,AFN,88000,4/3/2025
ABI0047,USD,0,4/3/2025
ABI0049,AFN,179500,4/3/2025
ABI0049,USD,0,4/3/2025
ABI0053,AFN,202000,4/3/2025
ABI0053,USD,0,4/3/2025
ABI0055,AFN,408500,4/3/2025
ABI0055,USD,0,4/3/2025
ABI0056,AFN,255000,4/3/2025
ABI0056,USD,0,4/3/2025
ABI0057,AFN,696500,4/3/2025
ABI0057,USD,0,4/3/2025
ABI0063,AFN,22500,4/3/2025
ABI0063,USD,0,4/3/2025
ABI0067,AFN,82500,4/3/2025
ABI0067,USD,0,4/3/2025
ABI0071,AFN,5000,4/3/2025
ABI0075,AFN,48000,4/3/2025
ABI0075,USD,0,4/3/2025
ABI0080,AFN,154000,4/3/2025
ABI0080,USD,0,4/3/2025
ABI0081,AFN,131500,4/3/2025
ABI0082,AFN,148000,4/3/2025
ABI0086,AFN,16500,4/3/2025
ABI0086,USD,0,4/3/2025
ABI0087,AFN,79000,4/3/2025
ABI0087,USD,0,4/3/2025
ABI0090,USD,550,4/3/2025
ABI0092,AFN,10000,4/3/2025
ABI0093,AFN,41500,4/3/2025
ABI0093,USD,0,4/3/2025
ABI0096,AFN,45500,4/3/2025
ABI0098,AFN,151500,4/3/2025
ABI0098,USD,0,4/3/2025
ABI0099,AFN,157500,4/3/2025
ABI0099,USD,0,4/3/2025
ABI0100,AFN,270000,4/3/2025
ABI0100,USD,1500,4/3/2025
ABI0101,AFN,15000,4/3/2025
ABI0101,USD,3900,4/3/2025
ABI0103,AFN,126000,4/3/2025
ABI0103,USD,0,4/3/2025
ABI0105,AFN,58000,4/3/2025
ABI0109,AFN,29000,4/3/2025
ABI0110,AFN,21000,4/3/2025
ABI0111,AFN,23000,4/3/2025
ABI0113,AFN,17400,4/3/2025
ABI0113,USD,1400,4/3/2025
ABI0114,AFN,65500,4/3/2025
ABI0115,AFN,17000,4/3/2025
ABI0116,AFN,76500,4/3/2025
ABI0116,USD,0,4/3/2025
ABI0119,AFN,28000,4/3/2025
ABI0120,AFN,25000,4/3/2025
ABI0121,AFN,92000,4/3/2025
ABI0121,USD,0,4/3/2025
ABI0123,AFN,265000,4/3/2025
ABI0123,USD,5500,4/3/2025
ABI0004,AFN,208500,4/4/2025
ABI0004,USD,0,4/4/2025
ABI0007,AFN,57500,4/4/2025
ABI0010,AFN,29000,4/4/2025
ABI0010,USD,0,4/4/2025
ABI0011,AFN,200500,4/4/2025
ABI0019,AFN,339500,4/4/2025
ABI0021,AFN,280500,4/4/2025
ABI0021,USD,0,4/4/2025
ABI0029,AFN,15000,4/4/2025
ABI0031,AFN,78000,4/4/2025
ABI0031,USD,0,4/4/2025
ABI0032,AFN,28500,4/4/2025
ABI0034,AFN,14000,4/4/2025
ABI0034,USD,700,4/4/2025
ABI0040,AFN,21000,4/4/2025
ABI0040,USD,5200,4/4/2025
ABI0041,AFN,112000,4/4/2025
ABI0041,USD,0,4/4/2025
ABI0042,AFN,104000,4/4/2025
ABI0043,AFN,5000,4/4/2025
ABI0043,USD,4650,4/4/2025
ABI0044,AFN,261000,4/4/2025
ABI0044,USD,0,4/4/2025
ABI0045,AFN,28500,4/4/2025
ABI0046,AFN,20500,4/4/2025
ABI0047,AFN,41000,4/4/2025
ABI0049,AFN,386000,4/4/2025
ABI0049,USD,0,4/4/2025
ABI0053,AFN,230000,4/4/2025
ABI0053,USD,0,4/4/2025
ABI0055,AFN,316500,4/4/2025
ABI0055,USD,0,4/4/2025
